location_id,stall_id,id,name,in_stock,school_price,public_price,category,kcal,compulsory_option_1,compulsory_option_2,modifier_1,modifier_1_cost,modifier_2,modifier_2_cost,upsize_1_cost,upsize_2_cost,tags,image_url
1,7,75,Tea Halia,,1.1,1.2,4,74,,,,,,,,,,
1,7,76,Ginger Water,,0.6,0.7,4,0,,,,,,,,,,
1,7,77,Ginger Water Ice,,1,1.1,4,0,,,"{Upsize}",0.5,,,,,,
1,7,78,Hot Chrysanthemum,,0.6,0.7,4,10,,,,,,,,,,
1,7,79,Canned Drinks – 300ml,,1.4,1.5,4,0,,,,,,,,,,
1,7,80,Bottled Drinks – 500ml,,1.5,1.6,4,0,,,,,,,,,,
1,7,81,Carton Drinks,,1.4,1.5,4,0,,,,,,,,,,
1,7,82,Tissue,,0.3,0.4,9,,,,,,,,,,,
1,7,83,Set A (Toast Bread + Eggs + Coffee/Tea),,2.5,2.8,1,536,"{Coffee, Tea}",,,,,,,,,
1,7,84,Set B (Apollo Bun + Eggs + Coffee/Tea),,2.8,3,1,448,"{Coffee, Tea}",,,,,,,,,
1,7,85,Set C (Thick Toast + Eggs + Coffee/Tea),,2.8,3,1,455,"{Coffee, Tea}",,,,,,,,,
1,7,86,Set D (Canopy Cream Cracker + Eggs + Coffee/Tea),,2.8,3,1,475,"{Coffee, Tea}",,,,,,,,,
1,7,87,Apollo Bun Bread,,1,1.1,2,186,,,,,,,,,,
1,7,88,Half Boiled Omega Egg (2 Pcs),,1.2,1.3,2,73,,,,,,,,,,
1,7,89,Normal Half Boiled Egg (2 Pcs),,1,1.1,2,73,,,,,,,,,,
1,7,90,Sandwich (Normal/Wholemeal),,1.6,1.8,1,350,"{Normal, Wholemeal}",,,,,,,,,
1,7,91,Toasted Bread (Normal/Wholemeal),,1,1.1,2,137,"{Normal, Wholemeal}",,,,,,,,,
1,7,92,Thick Toast,,1.2,1.3,2,139,,,,,,,,,,
1,7,93,Canopy Cream Cracker,,0.7,0.8,2,71,,,,,,,,,,
1,7,94,Siew Mai,,0.7,0.8,2,30,,,,,,,,,,
1,7,95,Lian Yong Pau,,0.8,0.9,2,200,,,,,,,,,,
1,7,96,Small Pau,,0.8,0.9,2,200,,,,,,,,,,
1,7,97,Veg Pau,,1,0.1,2,250,,,,,,,,,,
1,7,98,Char Siew Pau,,0.8,0.9,2,400,,,,,,,,,,
1,7,99,Curry Pau,,0.8,0.9,2,250,,,,,,,,,,
1,7,100,Sweet Corn Pau,,0.9,1,2,200,,,,,,,,,,
1,7,101,Red Bean Paste Pau (Tau Sar),,0.8,0.9,2,200,,,,,,,,,,
1,7,102,Yam Pau,,0.8,0.9,2,200,,,,,,,,,,
1,7,103,Chicken Pau,,1.4,1.5,2,250,,,,,,,,,,
1,7,104,Big (Tai) Pau,,1.4,1.5,2,400,,,,,,,,,,
1,7,105,Fan Choy,,1.6,1.7,2,300,,,,,,,,,,
1,7,106,Lor Mai Kai,,1.4,1.5,2,400,,,,,,,,,,
1,8,1,Plain Waffle,,1,1.2,2,,,,"{Sprinkles, Cinnamon, Butter, Chocolate Chips}",0.3,"{Cheese, Ham, Tuna, Nutella}",0.5,,,,
1,8,2,Butter Waffle,,1.3,1.5,2,,,,"{Sprinkles, Cinnamon, Butter, Chocolate Chips}",0.3,"{Cheese, Ham, Tuna, Nutella}",0.5,,,,
1,8,3,Blueberry Waffle,,1.3,1.5,2,,,,"{Sprinkles, Cinnamon, Butter, Chocolate Chips}",0.3,"{Cheese, Ham, Tuna, Nutella}",0.5,,,,
1,8,4,Strawberry Waffle,,1.3,1.5,2,,,,"{Sprinkles, Cinnamon, Butter, Chocolate Chips}",0.3,"{Cheese, Ham, Tuna, Nutella}",0.5,,,,
1,8,5,Pandan Kaya Waffle,,1.3,1.5,2,,,,"{Sprinkles, Cinnamon, Butter, Chocolate Chips}",0.3,"{Cheese, Ham, Tuna, Nutella}",0.5,,,,
1,8,6,Chocolate Waffle,,1.4,1.6,2,,,,"{Sprinkles, Cinnamon, Butter, Chocolate Chips}",0.3,"{Cheese, Ham, Tuna, Nutella}",0.5,,,,
1,8,7,Nutella Waffle,,1.8,2,2,,,,"{Sprinkles, Cinnamon, Butter, Chocolate Chips}",0.3,"{Cheese, Ham, Tuna, Nutella}",0.5,,,,
1,8,8,Butter Cinnamon Waffle,,1.4,1.6,2,,,,"{Sprinkles, Cinnamon, Butter, Chocolate Chips}",0.3,"{Cheese, Ham, Tuna, Nutella}",0.5,,,,
1,8,9,Strawberry Sprinkles Waffle,,1.5,1.7,2,,,,"{Sprinkles, Cinnamon, Butter, Chocolate Chips}",0.3,"{Cheese, Ham, Tuna, Nutella}",0.5,,,,
1,8,10,Honey Waffle,,1.5,1.7,2,,,,"{Sprinkles, Cinnamon, Butter, Chocolate Chips}",0.3,"{Cheese, Ham, Tuna, Nutella}",0.5,,,,
1,8,11,Choc & Nuts Waffle,,1.6,1.8,2,,,,"{Sprinkles, Cinnamon, Butter, Chocolate Chips}",0.3,"{Cheese, Ham, Tuna, Nutella}",0.5,,,,
1,8,12,Cream Cheese & Chocolate Chips Waffle,,2,2.2,2,,,,"{Sprinkles, Cinnamon, Butter, Chocolate Chips}",0.3,"{Cheese, Ham, Tuna, Nutella}",0.5,,,,
1,8,13,Cookies & Cream Waffle,,2,2.2,2,,,,"{Sprinkles, Cinnamon, Butter, Chocolate Chips}",0.3,"{Cheese, Ham, Tuna, Nutella}",0.5,,,,
1,8,14,Milk Cereal Waffle,,2,2.2,2,,,,"{Sprinkles, Cinnamon, Butter, Chocolate Chips}",0.3,"{Cheese, Ham, Tuna, Nutella}",0.5,,,,
1,8,15,Ham & Cheese Waffle,,2.2,2.6,2,,,,"{Sprinkles, Cinnamon, Butter, Chocolate Chips}",0.3,"{Cheese, Ham, Tuna, Nutella}",0.5,,,,
1,8,16,Chocolate Banana Waffle,,1.9,2.1,2,,,,"{Sprinkles, Cinnamon, Butter, Chocolate Chips}",0.3,"{Cheese, Ham, Tuna, Nutella}",0.5,,,,
1,8,17,Nutella Banana Waffle,,2.3,2.5,2,,,,"{Sprinkles, Cinnamon, Butter, Chocolate Chips}",0.3,"{Cheese, Ham, Tuna, Nutella}",0.5,,,,
1,8,18,Tuna Mayo Waffle,,2.2,2.6,2,,,,"{Sprinkles, Cinnamon, Butter, Chocolate Chips}",0.3,"{Cheese, Ham, Tuna, Nutella}",0.5,,,,
1,8,19,Durian Waffle,FALSE,2,2.2,2,,,,"{Sprinkles, Cinnamon, Butter, Chocolate Chips}",0.3,"{Cheese, Ham, Tuna, Nutella}",0.5,,,,
1,8,20,Butter Salt Corn Cup,,1.6,1.9,2,,,,,,,,,,,
1,8,21,Chocolate Salt Corn Cup,,1.9,2.3,2,,,,,,,,,,,
1,8,22,Butter Salt Milk Corn Cup,,1.9,2.3,2,,,,,,,,,,,
1,8,23,Takoyaki (3),,2,2.4,2,,,,,,,,,,,
1,8,24,Takoyaki (4),,2.5,3,2,,,,,,,,,,,
1,8,25,Octopus Takoyaki,TRUE,,,,,,,,,,,,,,
1,8,26,Ham Takoyaki,TRUE,,,,,,,,,,,,,,
1,8,27,Crabstick Takoyaki,TRUE,,,,,,,,,,,,,,
1,8,28,Prawn Takoyaki,TRUE,,,,,,,,,,,,,,
1,9,1,Lontong,,3,,1,,,,,,,,,,,
1,9,2,Mee Rebus,,3,,1,,,,,,,,,,,
1,9,3,Mee Soto,,3,,1,,,,,,,,,,,
1,9,4,Mee Bakso,,3,,1,,,,,,,,,,,
1,9,5,Mee Siam,,3,,1,,,,,,,,,,,
1,9,6,Chicken Porridge,,2.5,,1,,,,,,,,,,,
1,9,7,Bee Hoon + Egg,,2.5,,1,,,,,,,,,,,
1,9,8,Fried Rice + Egg,,2.5,,1,,,,,,,,,,,
1,9,9,Nasi Ayam Penyet,,4.5,,1,,,,,,,,,,,
1,9,10,Nasi Lemak Banana Leaf,,2,,1,,,,,,,,,,,
1,9,11,Rice + 2 Meat + 2 Veg/Side,,4.5,,1,,,,,,,,,,,
1,9,12,Rice + 1 Meat + 2 Veg/Side,,3.5,,1,,,,,,,,,,,
1,9,13,Rice + 2 Meat + 1 Veg//Side,,4,,1,,,,,,,,,,,
1,9,14,Nasi Padang Fish,,2.5,,3,,,,,,,,,,,
1,9,15,Nasi Padang Sliced Fish,,2,,3,,,,,,,,,,,
1,9,16,Nasi Padang Chicken,,1.8,,3,,,,,,,,,,,
1,9,17,Nasi Padang Beef,,2.5,,3,,,,,,,,,,,
1,9,18,Nasi Padang Mutton,,2.8,,3,,,,,,,,,,,
1,9,19,Nasi Padang Sotong,,2,,3,,,,,,,,,,,
1,9,20,Nasi Padang Prawn,,2.5,,3,,,,,,,,,,,
1,9,21,Nasi Padang Sardine,,2,,3,,,,,,,,,,,
1,9,22,Vegetable,,0.7,,3,,,,,,,,,,,
1,9,23,Egg/Tau Foo,,0.7,,3,,,,,,,,,,,
1,9,24,Fish Cake/Ball,,0.7,,3,,,,,,,,,,,
1,9,25,Sausage/Bagedil,,0.7,,3,,,,,,,,,,,
1,9,26,Anchovies,,1,,2,,,,,,,,,,,
1,9,27,Chicken Parts,,1,,2,,,,,,,,,,,
1,9,28,Sambal Goreng,,1,,2,,,,,,,,,,,
1,9,29,Terung Belado,,1,,2,,,,,,,,,,,
1,9,30,Curry Puff (3),,1,1.2,2,,,,,,,,,,,
1,9,31,Sambosa (3),,1,1.2,2,,,,,,,,,,,
1,9,32,Popiah (3),,1,1.2,2,,,,,,,,,,,
1,9,33,Doughnut (3),,1,1.2,2,,,,,,,,,,,
1,9,34,Green Bean (3),,1,1.2,2,,,,,,,,,,,
1,9,35,Goreng Pisang (3),,1,1.2,2,,,,,,,,,,,
1,9,36,Curry Puff,,0.4,0.4,2,,,,,,,,,,,
1,9,37,Sambosa,,0.4,0.4,2,,,,,,,,,,,
1,9,38,Popiah,,0.4,0.4,2,,,,,,,,,,,
1,9,39,Doughnut,,0.4,0.4,2,,,,,,,,,,,
1,9,40,Green Bean,,0.4,0.4,2,,,,,,,,,,,
1,9,41,Goreng Pisang,,0.4,0.4,2,,,,,,,,,,,
1,9,42,Nyonya Kueh,,0.5,0.6,2,,,,,,,,,,,
